Common Name,Genus,Species,Subspecies,Major Common Type
Blanchard's Cricket Frog,Acris,blanchardi,,frog
Eastern Cricket Frog,Acris,crepitans,,frog
Southern Cricket Frog,Acris,gryllus,,frog
Javanese File Snake,Acrochordus,javanicus,,snake
Northwestern Pond Turtle,Actinemys,marmorata,,turtle
Southwestern Pond Turtle,Actinemys,pallida,,turtle
Peters's Rock Agama,Agama,picticauda,,lizard
Florida Cottonmouth,Agkistrodon,conanti,,snake
Eastern Copperhead,Agkistrodon,contortrix,,snake
Broad-Banded Copperhead,Agkistrodon,laticinctus,,snake
Northern Cottonmouth,Agkistrodon,piscivorus,,snake
American Alligator,Alligator,mississippiensis,,crocodilian
Ringed Salamander,Ambystoma,annulatum,,salamander
Streamside Salamander,Ambystoma,barbouri,,salamander
Reticulated Flatwoods Salamander,Ambystoma,bishopi,,salamander
California Tiger Salamander,Ambystoma,californiense,,salamander
Frosted Flatwoods Salamander,Ambystoma,cingulatum,,salamander
Northwestern Salamander,Ambystoma,gracile,,salamander
Jefferson Salamander,Ambystoma,jeffersonianum,,salamander
Blue-Spotted Salamander,Ambystoma,laterale,,salamander
Mabee's Salamander,Ambystoma,mabeei,,salamander
Long-Toed Salamander,Ambystoma,macrodactylum,,salamander
Eastern Long-Toed Salamander,Ambystoma,macrodactylum,columbianum,salamander
Santa Cruz Long-Toed Salamander,Ambystoma,macrodactylum,croceum,salamander
Northern Long-Toed Salamander,Ambystoma,macrodactylum,krausei,salamander
Western Long-Toed Salamander,Ambystoma,macrodactylum,macrodactylum,salamander
Southern Long-Toed Salamander,Ambystoma,macrodactylum,sigillatum,salamander
Spotted Salamander,Ambystoma,maculatum,,salamander
Western Tiger Salamander,Ambystoma,mavortium,,salamander
Gray Tiger Salamander,Ambystoma,mavortium,diaboli,salamander
Barred Tiger Salamander,Ambystoma,mavortium,mavortium,salamander
Blotched Tiger Salamander,Ambystoma,mavortium,melanostictum,salamander
Arizona Tiger Salamander,Ambystoma,mavortium,nebulosum,salamander
Sonoran Tiger Salamander,Ambystoma,mavortium,stebbinsi,salamander
Marbled Salamander,Ambystoma,opacum,,salamander
Mole Salamander,Ambystoma,talpoideum,,salamander
Small-Mouthed Salamander,Ambystoma,texanum,,salamander
Eastern Tiger Salamander,Ambystoma,tigrinum,,salamander
Giant Ameiva,Ameiva,ameiva,,lizard
Dusky Giant Ameiva,Ameiva,praesignis,,lizard
Two-Toed Amphiuma,Amphiuma,means,,salamander
One-Toed Amphiuma,Amphiuma,pholeter,,salamander
Three-Toed Amphiuma,Amphiuma,tridactylum,,salamander
American Toad,Anaxyrus,americanus,,frog
Eastern American Toad,Anaxyrus,americanus,americanus,frog
Dwarf American Toad,Anaxyrus,americanus,charlesmithi,frog
Wyoming Toad,Anaxyrus,baxteri,,frog
Western Toad,Anaxyrus,boreas,,frog
Arroyo Toad,Anaxyrus,californicus,,frog
Yosemite Toad,Anaxyrus,canorus,,frog
Great Plains Toad,Anaxyrus,cognatus,,frog
Chihuahuan Green Toad,Anaxyrus,debilis,,frog
Eastern Chihuahuan Green Toad,Anaxyrus,debilis,debilis,frog
Western Chihuahuan Green Toad,Anaxyrus,debilis,insidior,frog
Black Toad,Anaxyrus,exsul,,frog
Fowler's Toad,Anaxyrus,fowleri,,frog
Canadian Toad,Anaxyrus,hemiophrys,,frog
Houston Toad,Anaxyrus,houstonensis,,frog
Arizona Toad,Anaxyrus,microscaphus,,frog
Amargosa Toad,Anaxyrus,nelsoni,,frog
Red-Spotted Toad,Anaxyrus,punctatus,,frog
Oak Toad,Anaxyrus,quercicus,,frog
Sonoran Green Toad,Anaxyrus,retiformis,,frog
Texas Toad,Anaxyrus,speciosus,,frog
Southern Toad,Anaxyrus,terrestris,,frog
Woodhouse's Toad,Anaxyrus,woodhousii,,frog
Southwestern Woodhouse's Toad,Anaxyrus,woodhousii,australis,frog
Rocky Mountain Toad,Anaxyrus,woodhousii,woodhousii,frog
